id,name,slug,status,price,price_cents,compare_at_price,compare_at_price_cents,stock_qty,short_desc,overview,features,how_to_use,inci_ingredients,key_ingredients,size,shelf_life,claims,thumbnail_url,gallery_urls,category_slug
17,"Glitter Acrylic",glitter-acrylic,active,250,25000,,,,10,"Product Glitter Acrylic","Product Glitter Acrylic description",";",";",";",";","","","https://example.com/glitter-acrylic.webp","https://example.com/glitter-acrylic-1.webp;https://example.com/glitter-acrylic-2.webp",nail-products
18,"Rose Petal Manicure Table",rose-petal-manicure-table,active,2590,259000,,,,10,"Product Rose Petal Manicure Table","Product Rose Petal Manicure Table description",";",";",";",";","","","https://example.com/rose-petal-manicure-table.webp","https://example.com/rose-petal-manicure-table-1.webp;https://example.com/rose-petal-manicure-table-2.webp",nail-products
18,"Iris Manicure Table",iris-manicure-table,active,3490,349000,,,,10,"Product Iris Manicure Table","Product Iris Manicure Table description",";",";",";",";","","","https://example.com/iris-manicure-table.webp","https://example.com/iris-manicure-table-1.webp;https://example.com/iris-manicure-table-2.webp",nail-products
15,"Blom Manicure Table & Work Station",blom-manicure-workstation,active,4500,450000,,,,10,"Product Blom Manicure Table & Work Station","Product Blom Manicure Table & Work Station description",";",";",";",";","","","https://example.com/blom-manicure-workstation.webp","https://example.com/blom-manicure-workstation-1.webp;https://example.com/blom-manicure-workstation-2.webp",nail-products
19,"Daisy Manicure Table",daisy-manicure-table,active,2700,270000,,,,10,"Product Daisy Manicure Table","Product Daisy Manicure Table description",";",";",";",";","","","https://example.com/daisy-manicure-table.webp","https://example.com/daisy-manicure-table-1.webp;https://example.com/daisy-manicure-table-2.webp",nail-products
20,"Polish Garden (Gel Polish Rack)",polish-garden-rack,active,1150,115000,,,,10,"Product Polish Garden (Gel Polish Rack)","Product Polish Garden (Gel Polish Rack) description",";",";",";",";","","","https://example.com/polish-garden-rack.webp","https://example.com/polish-garden-rack-1.webp;https://example.com/polish-garden-rack-2.webp",nail-products
21,"Blossom Manicure Table",blossom-manicure-table,active,5200,520000,,,,10,"Product Blossom Manicure Table","Product Blossom Manicure Table description",";",";",";",";","","","https://example.com/blossom-manicure-table.webp","https://example.com/blossom-manicure-table-1.webp;https://example.com/blossom-manicure-table-2.webp",nail-products
22,"Pearly Pedicure Station",pearly-pedicure-station,active,4800,480000,,,,10,"Product Pearly Pedicure Station","Product Pearly Pedicure Station description",";",";",";",";","","","https://example.com/pearly-pedicure-station.webp","https://example.com/pearly-pedicure-station-1.webp;https://example.com/pearly-pedicure-station-2.webp",nail-products
23,"Princess Dresser",princess-dresser,active,7400,740000,,,,10,"Product Princess Dresser","Product Princess Dresser description",";",";",";",";","","","https://example.com/princess-dresser.webp","https://example.com/princess-dresser-1.webp;https://example.com/princess-dresser-2.webp",nail-products
21,"Floral Manicure Table",floral-manicure-table,active,4300,430000,,,,10,"Product Floral Manicure Table","Product Floral Manicure Table description",";",";",";",";","","","https://example.com/floral-manicure-table.webp","https://example.com/floral-manicure-table-1.webp;https://example.com/floral-manicure-table-2.webp",nail-products
22,"Orchid Manicure Table",orchid-manicure-table,active,3700,370000,,,,10,"Product Orchid Manicure Table","Product Orchid Manicure Table description",";",";",";",";","","","https://example.com/orchid-manicure-table.webp","https://example.com/orchid-manicure-table-1.webp;https://example.com/orchid-manicure-table-2.webp",nail-products
